tensor,component,shard,dtype,shape,bytes,logical_group,quant_format,bits_per_weight,in_features,out_features,small_m_dispatch
lm_head.mul1,output_head,model-00001-of-00002.safetensors,I32,,4,lm_head,exl3,4,,,
lm_head.suh,output_head,model-00001-of-00002.safetensors,F16,5120,10240,lm_head,exl3,4,,,
lm_head.svh,output_head,model-00001-of-00002.safetensors,F16,248320,496640,lm_head,exl3,4,,,
lm_head.trellis,output_head,model-00002-of-00002.safetensors,I16,320x15520x64,635699200,lm_head,exl3,4,5120,248320,hard-eligible; heuristic/SM-dependent
model.language_model.embed_tokens.weight,text,model-00001-of-00002.safetensors,BF16,248320x5120,2542796800,model.language_model.embed_tokens,,,,,
model.language_model.layers.0.input_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.0.input_layernorm,,,,,
model.language_model.layers.0.linear_attn.A_log,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.0.linear_attn.conv1d.weight,text,model-00001-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.0.linear_attn.dt_bias,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.0.linear_attn.in_proj_a.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.0.linear_attn.in_proj_a,,,,,
model.language_model.layers.0.linear_attn.in_proj_b.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.0.linear_attn.in_proj_b,,,,,
model.language_model.layers.0.linear_attn.in_proj_qkv.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.0.linear_attn.in_proj_qkv,exl3,4,,,
model.language_model.layers.0.linear_attn.in_proj_qkv.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.0.linear_attn.in_proj_qkv,exl3,4,,,
model.language_model.layers.0.linear_attn.in_proj_qkv.svh,text,model-00001-of-00002.safetensors,F16,10240,20480,model.language_model.layers.0.linear_attn.in_proj_qkv,exl3,4,,,
model.language_model.layers.0.linear_attn.in_proj_qkv.trellis,text,model-00001-of-00002.safetensors,I16,320x640x64,26214400,model.language_model.layers.0.linear_attn.in_proj_qkv,exl3,4,5120,10240,hard-eligible; heuristic/SM-dependent
model.language_model.layers.0.linear_attn.in_proj_z.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.0.linear_attn.in_proj_z,exl3,4,,,
model.language_model.layers.0.linear_attn.in_proj_z.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.0.linear_attn.in_proj_z,exl3,4,,,
